Epithet;Date of registration;Genus;Originator Name;Registrant Name;Pollen;Seed;Synonym Flag
10th Anniversary;26/08/2009;Paphiopedilum;O/U;NBG Wales;Samarkand;Dalla;This is not a synonym
A-doribil Niverich;10/02/2006;Paphiopedilum;B.Thoms;B.Thoms;richardianum;niveum;This is not a synonym
A. de Lairesse;01/11/1895;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];rothschildianum;curtisii;This is not a synonym
A. Dimmock;01/01/1902;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];druryi;Godseffianum;This is not a synonym
A. E. Chanter;01/01/1948;Paphiopedilum;Keeling;Keeling;Tracyanum;Chrysostom;This is not a synonym
A. E. Dale;01/01/1930;Paphiopedilum;A.E.Dale;A.E.Dale;Our Queen;Chrysostom;This is not a synonym
A. Gerritsen;01/01/1915;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];San-Actaeus;Leeanum;This is not a synonym
A. J. Cholmley;01/01/1921;Paphiopedilum;Cholmley;Cholmley;parishii;niveum;This is not a synonym
A. J. H. Smith;01/01/1911;Paphiopedilum;Mrs Cookson;Mrs Cookson;niveum;Hera (1892);This is not a synonym
A. J. Herrington;01/01/1895;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Oenanthum;Leeanum;This is  a synonym
A. K. Berry;01/01/1930;Paphiopedilum;Keeling;Keeling;Nirvana;Christopher;This is not a synonym
A. Lomax;01/01/1938;Paphiopedilum;Lomax;Lomax;Gertrude West;Eurybiades;This is not a synonym
A. M. Meadows;01/01/1938;Paphiopedilum;Lomax;Lomax;Olympus;Maori;This is not a synonym
A. R. Smith;01/01/1896;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];druryi;callosum;This is not a synonym
A. Robb;01/01/1931;Paphiopedilum;Black ;Black ;Lady Phulmoni;J. M. Black;This is not a synonym
A. Waller;01/01/1939;Paphiopedilum;Black ;Black ;Lady Phulmoni;Josette;This is not a synonym
Aachen;22/11/2000;Paphiopedilum;Svoboda Jr,A.C.;Svoboda Jr,A.C.;Veritilario;Conco-bellatulum;This is not a synonym
Aaron;01/01/1928;Paphiopedilum;Bruce-Wrigley;Bruce-Wrigley;Alcineda;Actaeus;This is not a synonym
Aaron Joel;28/05/2002;Paphiopedilum;Orchid Zone;Logsdon;Somers Isles;Oriental Mystique;This is not a synonym
Aaron Poock;01/04/2005;Paphiopedilum;D.;D.;wardii;lowii;This is not a synonym
Aarons' Distinctions;26/09/2012;Paphiopedilum;O/U;C.Lutchman;Lutchmans' Blitz;Hsinying Rubyweb;This is not a synonym
Aasenii;01/01/1900;Paphiopedilum;O.Ames;O.Ames;Swanianum;fairrieanum;This is not a synonym
Ababataba;13/07/1990;Paphiopedilum;H.Doll;H.Doll;Sparsholt;Memoria John Dominy;This is not a synonym
Abado;01/01/1936;Paphiopedilum;Armstrong/Brown;Armstrong/Brown;Pyramus;Memoria H. J. Elwes;This is not a synonym
Abana;01/01/1955;Paphiopedilum;Horridge;Stirling;Megantic;Saint Lawrence;This is not a synonym
Abanilla;01/01/1936;Paphiopedilum;Armstrong/Brown;Armstrong/Brown;Londinum;H. T. Pitt;This is not a synonym
Abaran;01/01/1936;Paphiopedilum;Armstrong/Brown;Armstrong/Brown;Mrs. Eley;Chardmoore;This is not a synonym
Abas;01/01/1900;Paphiopedilum;Veitch;Veitch;villosum;stonei;This is not a synonym
Abashiri;20/01/1997;Paphiopedilum;M.Kimura;I.Shimizu;Motoo Kimura;Orchilla;This is not a synonym
Abba Zabba;25/09/1991;Paphiopedilum;T.Root;Orchid Zone;Maudiae;Memoria Toshio Miyata;This is not a synonym
Abbaye de Vaucelles;21/12/2004;Paphiopedilum;P.Bertaux;P.Bertaux;Norito Hasegawa;Lynleigh Koopowitz;This is not a synonym
Abbeville;01/01/1983;Paphiopedilum;Dr/Mme Briois;Dr/Mme Briois;exul;glanduliferum;This is not a synonym
Abbey Lane;01/01/1980;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Diversion;Maginot;This is not a synonym
Abderites;01/01/1937;Paphiopedilum;Armstrong/Brown;Armstrong/Brown;W. H. Page;Walter Moore;This is not a synonym
Abebe Bikila;18/10/1996;Paphiopedilum;A.Mochizuki;A.Mochizuki;Gloriosum (1916);Makuli;This is not a synonym
Abel Chatenay;01/01/1924;Paphiopedilum;Luxembourg Gdns.;Luxembourg Gdns.;Gaston Bultel;druryi;This is not a synonym
Abendrot;01/01/1981;Paphiopedilum;H.Bernhart;H.Bernhart;Martinique;Marie-Galante;This is not a synonym
Aberdare;01/01/1962;Paphiopedilum;Wyld Court;Wyld Court;Dalla;Abernant;This is not a synonym
Aberdeen;01/01/1955;Paphiopedilum;Jensen;Stirling;Allison;Banchory;This is not a synonym
Aberdonian;01/01/1930;Paphiopedilum;Armacost;Armacost;Lucifer;Lord Wolmer;This is not a synonym
Abernant;01/01/1950;Paphiopedilum;Cooke;Cooke;Ernest E. Platt;Conigar;This is not a synonym
Abessa;01/01/1900;Paphiopedilum;O.Ames;O.Ames;Euryale;barbatum;This is not a synonym
Abigail Chantry;10/06/1992;Paphiopedilum;Stewart Orch.;Baker ;Pacific Ocean;Marlborough;This is not a synonym
Abimelech;01/11/1986;Paphiopedilum;J.W.Taylor;J.W.Taylor;glaucophyllum;Redsand;This is not a synonym
Ablaze;01/01/1948;Paphiopedilum;Stirling;Stirling;Pyralex;Baldur;This is not a synonym
Abnaki;01/01/1979;Paphiopedilum;W.W.Wilson;W.W.Wilson;Winston Churchill;Olympic Forest;This is not a synonym
Aboyne;01/01/1939;Paphiopedilum;Black ;Black ;Euryostom;Dickler;This is not a synonym
Abracadabra;08/02/1996;Paphiopedilum;M.Pendleton;Orchid Zone;bellatulum;Magic Lantern;This is not a synonym
Abraham Lincoln;01/01/1900;Paphiopedilum;O.Ames;O.Ames;Orphanum;Niobe;This is not a synonym
Abrantes;01/01/1957;Paphiopedilum;Vach.;Vach.;Banchory;San-Actaeus;This is not a synonym
Abu's Delta;01/04/1992;Paphiopedilum;Svoboda Jr,A.C.;Svoboda Jr,A.C.;Pacific Ocean;Mocheck;This is not a synonym
Abukuma;01/01/1966;Paphiopedilum;K.Tokugawa;K.Tokugawa;Omar;Memoria F. M. Ogilvie;This is not a synonym
Abyssinia;01/01/1930;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Our Prince;Memoria F. M. Ogilvie;This is not a synonym
Acajou;01/01/1964;Paphiopedilum;Vach.;Vach.;Monge;Atlantis;This is not a synonym
Acantha;01/01/1930;Paphiopedilum;C.Cookson;C.Cookson;Memoria F. M. Ogilvie;Bantam;This is not a synonym
Acapulco;19/12/2008;Paphiopedilum;O.Duerbusch;O.Duerbusch;Lippestern;British Bulldog;This is not a synonym
Acapulco Gold;01/11/1973;Paphiopedilum;Rod McLellan Co.;R.Hawley;San Carlos;McLaren Park;This is not a synonym
Acapulco Moon;01/11/1988;Paphiopedilum;H.Schiffer;H.Schiffer;Mooncrest;Acapulco Gold;This is not a synonym
Acapulco World;14/10/2011;Paphiopedilum;Ching Hua;Ching Hua;Shining World;Acapulco;This is not a synonym
Accent;01/01/1978;Paphiopedilum;Ratcliffe;Ratcliffe;Colonist;Lucid;This is not a synonym
Access;25/03/2011;Paphiopedilum;A.Nakada;A.Nakada;Pacific Challenger;Isshiki Spot;This is not a synonym
Acclama Win;25/07/1996;Paphiopedilum;S.Hayashi;S.Hayashi;Winston Churchill;Acclamation;This is not a synonym
Acclamation;01/01/1984;Paphiopedilum;Santa Barbara;Santa Barbara;Geraldine;Parry Gripp;This is not a synonym
Accolade;30/11/1992;Paphiopedilum;Ratcliffe;Ratcliffe;World Frolic;Sofala;This is not a synonym
Accomplish;13/03/2006;Paphiopedilum;Ratcliffe;Ratcliffe;Brave New World;World Academy;This is not a synonym
Accordance;01/01/1972;Paphiopedilum;Ratcliffe;Ratcliffe;Luna;Cadence;This is not a synonym
Ace High;01/01/1975;Paphiopedilum;J.Hanes;J.Hanes;Winston Churchill;Betty Wilson;This is not a synonym
Aceldama;01/01/1955;Paphiopedilum;Keeling;Stirling;Crusader;Corsair;This is not a synonym
Achaean;01/01/1930;Paphiopedilum;A.E.Dale;A.E.Dale;Golden Dawn;Actaeus;This is not a synonym
Achat;01/01/1966;Paphiopedilum;Wichmann Orch.;Wichmann Orch.;Whitemoor;Westlute;This is not a synonym
Achentaler Schwarz;29/03/1994;Paphiopedilum;O/U;O.Gruss;sukhakulii;Callo-day;This is not a synonym
Acheron;01/01/1934;Paphiopedilum;Miss Wrigley;Miss Wrigley;Sebastian Cabot;Azrael;This is not a synonym
Achievement;01/01/1956;Paphiopedilum;Morgenstern;Morgenstern;Great Mogul;Viking;This is not a synonym
Achille Richard;14/01/2000;Paphiopedilum;Jard.Luxembourg;Jard.Luxembourg;fairrieanum;victoria-regina;This is not a synonym
Achilles;01/01/1913;Paphiopedilum;Hanbury;Hanbury;Fortissartense;Actaeus;This is not a synonym
Achmet;01/01/1949;Paphiopedilum;V.;V.;Atlantis;Athos (1935);This is not a synonym
Acis;01/01/1894;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];lawrenceanum;insigne;This is  a synonym
Acker's Peak;14/01/2002;Paphiopedilum;Orch.by Ackers;Orch.by Ackers;Acker's Summit;Acker's Pinnacle;This is not a synonym
Acker's Pinnacle;30/01/1995;Paphiopedilum;Orch.by Ackers;Orch.by Ackers;Acker's Summit;Shapely;This is not a synonym
Acker's Summit;27/01/1994;Paphiopedilum;Orch.by Ackers;Orch.by Ackers;Via Exacto;Yerba Buena;This is not a synonym
Acker's White Cap;14/01/2002;Paphiopedilum;Orch.by Ackers;Orch.by Ackers;Acker's Pinnacle;Yerba Buena;This is not a synonym
Acker's Wonderland;24/01/2005;Paphiopedilum;Orch.by Ackers;Orch.by Ackers;Yerba Buena;Wonder Isle;This is not a synonym
Acolyte;01/01/1974;Paphiopedilum;Thomdel Coll.;Thomdel Coll.;spicerianum;sukhakulii;This is not a synonym
Acoma;01/11/1988;Paphiopedilum;W.W.Wilson;W.W.Wilson;McLaren Park;Glasnevin;This is not a synonym
Acoma for Dinner;20/10/2010;Paphiopedilum;Arnold J.Klehm;Arnold J.Klehm;Kay Rinaman;Acoma;This is not a synonym
Acomb;01/01/1927;Paphiopedilum;C.Cookson;C.Cookson;Memoria F. M. Ogilvie;Carola;This is not a synonym
Acquisita;01/01/1981;Paphiopedilum;Ratcliffe;Ratcliffe;Stamperland;Masquerade;This is not a synonym
Acre;01/01/1955;Paphiopedilum;Keeling;Stirling;Crusader;Charles Keeling;This is not a synonym
Acromantula;21/09/2004;Paphiopedilum;Orchid Zone;Kita-Cal;Treevill Winston;Spotter;This is not a synonym
Acropolis;01/01/1937;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Renown;Olympus;This is not a synonym
Across World;08/06/2010;Paphiopedilum;Tokyo O.N.;Tokyo O.N.;Neo World;Distant Shores;This is not a synonym
Act Bay;07/09/1994;Paphiopedilum;O/U;Suwada Orch.;Sandra Bay;Actaeus;This is not a synonym
Actaeon;01/01/1928;Paphiopedilum;Bostock;Bostock;Nesta;Chrysotens;This is not a synonym
Actaeus;01/01/1895;Paphiopedilum;Veitch;Veitch;Leeanum;insigne;This is not a synonym
Actaeus Bianca;;Paphiopedilum;H.;H.;Leeanum;insigne;This is  a synonym
Actaz;01/01/1957;Paphiopedilum;Sherman;Sherman;Topaz;Actaeus;This is not a synonym
Actens;;Paphiopedilum;Unknown;Unknown;Leeanum;insigne;This is  a synonym
Action Central;15/12/1999;Paphiopedilum;Orchids Royale;Orchids Royale;malipoense;Acclamation;This is not a synonym
Action Man;01/01/1981;Paphiopedilum;Ratcliffe;Ratcliffe;Sparsholt;Warrior;This is not a synonym
Active Red;08/03/1995;Paphiopedilum;Ratcliffe;Ratcliffe;Dazzler;Loganna;This is not a synonym
Actor;01/01/1934;Paphiopedilum;Miss Wrigley;Miss Wrigley;Bromilowianum;Actaeus;This is not a synonym
Actress;01/01/1943;Paphiopedilum;Armacost;Armacost;San-Actaeus;Enchantress;This is not a synonym
Ada;01/01/1922;Paphiopedilum;Cowan;Cowan;Lord Wolmer;Hitchinsiae;This is not a synonym
Ada Watson;01/01/1922;Paphiopedilum;Leon;Leon;Tracery;The Baron;This is not a synonym
Adam;01/01/1967;Paphiopedilum;Craig's;Craig's;Farnmoore;Atlantis;This is not a synonym
Adam Hausermann;01/01/1982;Paphiopedilum;Rod McLellan Co.;Hausermann;Gigi;Telesis;This is not a synonym
Adams Apple;01/01/1974;Paphiopedilum;R.Cryder;R.Cryder;appletonianum;chamberlainianum;This is not a synonym
Adamsii;01/01/1903;Paphiopedilum;Roebling;Roebling;Regale;Calypso;This is not a synonym
Adbury;01/01/1982;Paphiopedilum;J.Hanes;J.Hanes;Advancement;Aylesbury;This is not a synonym
Addax;01/01/1956;Paphiopedilum;V.;V.;Siroco;Dorama;This is not a synonym
Adder;01/01/1961;Paphiopedilum;Stirling;Stirling;Ocelot;Gertrude West;This is not a synonym
Addicted Ben;12/02/1992;Paphiopedilum;F.Booth;F.Booth;adductum;Bengal Lancers;This is not a synonym
Addicted Phillip;29/11/1991;Paphiopedilum;F.Booth;F.Booth;adductum;philippinense;This is not a synonym
Addicted Susan;20/07/1995;Paphiopedilum;F.Booth;F.Booth;adductum;Susan Booth;This is not a synonym
Adding Booth;10/08/2010;Paphiopedilum;Ching Hua;F.Clarke;adductum;Genevieve Booth;This is not a synonym
Addingham;01/01/1939;Paphiopedilum;J.Clark;J.Clark;Roundhead;Desdemona (1914);This is not a synonym
Adela;01/01/1899;Paphiopedilum;Duval;Duval;superbiens;boxallii;This is not a synonym
Adela II;01/01/1942;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Cardinal Mercier;Adeline;This is not a synonym
Adelaide;01/01/1942;Paphiopedilum;Black ;Black ;Robert Paterson;Euryostom;This is not a synonym
Adelaide City;30/03/1993;Paphiopedilum;Adelaide;Adelaide;Letozia;Busby;This is not a synonym
Adelaide Colony;30/03/1993;Paphiopedilum;Adelaide;Adelaide;Colonist;W. N. Evans;This is not a synonym
Adelaide Magic;13/12/1993;Paphiopedilum;Adelaide;Adelaide;Goultenianum;Pop Monkhouse;This is not a synonym
Adelaide Polish;30/03/1993;Paphiopedilum;Adelaide;Adelaide;Turpe;hennisianum;This is not a synonym
Adelbert Carl;07/01/2002;Paphiopedilum;Svoboda Jr,A.C.;Svoboda Jr,A.C.;Sandra Lee;Chiapas;This is not a synonym
Adeline;01/01/1936;Paphiopedilum;McBean's;McBean's;Senator;Lady Dillon;This is not a synonym
Adept;01/01/1937;Paphiopedilum;Cooke;Cooke;Cardinal Mercier;Amberley Gem;This is not a synonym
Adesugata;19/05/1999;Paphiopedilum;T.Takano;T.Takano;Memoria Toshio Miyata;Salty;This is not a synonym
Adewale Akinnuoye-Agbaje;06/02/2002;Paphiopedilum;Orchid House;G.Lawless;charlesworthii;Black Stallion;This is not a synonym
Adilene Bobadilla;23/02/1993;Paphiopedilum;T.Root;Orchid Zone;Imelda Bobadilla;Halo;This is not a synonym
Adios;09/05/1991;Paphiopedilum;Paphanatics;Paphanatics;Maudiae;Osiris;This is not a synonym
Adkins Impulse;17/05/2004;Paphiopedilum;E.F.G.Orchids;Adkins Orch.;Macabre;Blood Clot;This is not a synonym
Admirable;01/01/1938;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Lucifer;Hestia;This is not a synonym
Admiral;01/01/1923;Paphiopedilum;Gratrix;Gratrix;G. F. Moore (1930);Beryl;This is not a synonym
Admiral Togo;01/01/1905;Paphiopedilum;Janssens ;Janssens ;Nitens;boxallii;This is  a synonym
Admiration;01/01/1933;Paphiopedilum;A.E.Dale;A.E.Dale;Robert Paterson;Chrysostom;This is not a synonym
Adolfo Sutter;01/01/1955;Paphiopedilum;P.Maggi Ponti;P.Maggi Ponti;Lemanii Ducis;Mrs. William Mostyn;This is not a synonym
Adonis (1891);01/01/1891;Paphiopedilum;Williams;Williams;spicerianum;Harrisianum;This is  a synonym
Adonis (1893);01/01/1893;Paphiopedilum;Ingram;Ingram;hirsutissimum;curtisii;This is not a synonym
Adorn;01/01/1938;Paphiopedilum;Cooke;Cooke;Nesta II;Lucullus;This is not a synonym
Adornable;01/01/1972;Paphiopedilum;Ratcliffe;Ratcliffe;F. C. Puddle;Paeony;This is not a synonym
Adornment;01/01/1972;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Burleigh Mohur;Harbur;This is not a synonym
Adrastus;01/01/1892;Paphiopedilum;Veitch;Veitch;Leeanum;boxallii;This is  a synonym
Adrianae;01/01/1914;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Hitchinsiae;fairrieanum;This is not a synonym
Adrien;01/01/1899;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Swanianum;rothschildianum;This is  a synonym
Adrienne;01/01/1938;Paphiopedilum;R.Bates;R.Bates;Lucernale;Dante;This is not a synonym
Adulation;01/01/1973;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Rimalang;Littledean;This is not a synonym
Advance;01/01/1933;Paphiopedilum;A.E.Dale;A.E.Dale;Major Hanbury Carlile;Chardmoore;This is not a synonym
Advancement;01/11/1969;Paphiopedilum;J.Hanes;J.Hanes;Mecca;Blagrose;This is not a synonym
Adventure;01/01/1975;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;stonei;victoria-regina;This is not a synonym
Adventure Ridge;15/12/1999;Paphiopedilum;Orchids Royale;Orchids Royale;Jenna Marie;Royal Anthem;This is not a synonym
Adventure with Landmarks;13/05/1997;Paphiopedilum;R.Tran;R.Tran;Adventure;Landmark;This is not a synonym
Adventure World;30/10/2010;Paphiopedilum;Ratcliffe;Yamato-Noen;Canberra;World Venture;This is not a synonym
Adventurous Mandy;01/01/1988;Paphiopedilum;H.Schiffer;H.Schiffer;World Venture;Amanda;This is not a synonym
Advocaat;16/07/1997;Paphiopedilum;Ratcliffe;Ratcliffe;concolor;Singular;This is not a synonym
Adwin;01/01/1976;Paphiopedilum;J.Hanes;J.Hanes;Advancement;Winlantis;This is not a synonym
Aegean;01/01/1934;Paphiopedilum;Miss Wrigley;Miss Wrigley;Shogun;Leander;This is not a synonym
Aegeus;01/01/1935;Paphiopedilum;Aberconway;Aberconway;Erato;Conference;This is not a synonym
Aelec Brands;01/01/1940;Paphiopedilum;Jensen;Jensen;Virgil;Perseus;This is not a synonym
Aelita;11/06/2007;Paphiopedilum;T.Ishii;T.Ishii;Stone Elnath;Via Choice;This is not a synonym
Aeneas;01/01/1900;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];hookerae;haynaldianum;This is not a synonym
Aeolus (1890);01/01/1890;Paphiopedilum;Veitch;Veitch;villosum;philippinense;This is  a synonym
Aerolite;11/06/2007;Paphiopedilum;T.Ishii;T.Ishii;F. C. Puddle;Via Choice;This is not a synonym
Aerosol;26/08/2008;Paphiopedilum;T.Ishii;T.Ishii;White Knight;Via Choice;This is not a synonym
Aeruginosum;01/01/1921;Paphiopedilum;Beckton;Beckton;Victor Hugo;Aureum;This is not a synonym
Aerzen;01/01/1980;Paphiopedilum;G.Ludwig;G.Ludwig;Maudiae;Floralies;This is not a synonym
Aesmannii;01/01/1922;Paphiopedilum;Philip Smith;Philip Smith;Beeckmanii;Aeson;This is not a synonym
Aeson;01/01/1892;Paphiopedilum;Veitch;Veitch;insigne;druryi;This is not a synonym
Aesop;01/01/1925;Paphiopedilum;Bruce-Wrigley;Bruce-Wrigley;Lord Wolmer;Aeson;This is not a synonym
Afghan Chief;01/01/1928;Paphiopedilum;Armstrong/Brown;Armstrong/Brown;Perseus;Eurybiades;This is not a synonym
Afire;31/08/1994;Paphiopedilum;Krull-Smith;Krull-Smith;Maudiae;Virginia Moffett;This is not a synonym
African;01/01/1950;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Prince Albert;Nubian;This is not a synonym
African Martyrs;21/01/2004;Paphiopedilum;Orchid House;G.Lawless;Mach One;Chans Temple;This is not a synonym
African Queen;18/01/1993;Paphiopedilum;C.W.Hayward;C.W.Hayward;Wallur;Sun Crystal;This is not a synonym
After Dark;23/05/2006;Paphiopedilum;T.Umbour;Paphanatics;Nightfire;Rafael García Orraca;This is not a synonym
Afterglow;01/01/1948;Paphiopedilum;Stirling;Stirling;Modena;Grace Darling;This is not a synonym
Afternoon Shadows;29/03/1996;Paphiopedilum;Ratcliffe;Ratcliffe;Gaystone;Sweet Sunrise;This is not a synonym
Afternoon Tea;13/11/2007;Paphiopedilum;F.Sugiyama;Yamato-Noen;English Tea;Winston Churchill;This is not a synonym
Aga'pe;13/05/1998;Paphiopedilum;D.Eickhoff;D.Eickhoff;appletonianum;urbanianum;This is not a synonym
Agate;01/01/1933;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Chrysostom;Bourton Lady;This is not a synonym
Agate Brook;01/01/1980;Paphiopedilum;Beall;Beall;Chardright;Pittsburg;This is not a synonym
Agatha Christie;06/08/1993;Paphiopedilum;H.Doll;H.Doll;Veronique;Saint Swithin;This is not a synonym
Agemaki;30/01/2004;Paphiopedilum;T.Tanaka;T.Tanaka;delenatii;Sioux;This is not a synonym
Agetes;01/01/1935;Paphiopedilum;Aberconway;Aberconway;Desdemona (1914);Conference;This is not a synonym
Aggression;01/01/1935;Paphiopedilum;Miss Wrigley;Miss Wrigley;Mrs. Eley;Armistice II;This is not a synonym
Agincourt;01/11/1979;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Tommie Hanes;Van Ness;This is not a synonym
Aglaon;01/01/1922;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Hitchinsiae;Earl of Tankerville;This is not a synonym
Aglow;01/01/1989;Paphiopedilum;D.Pulley;D.Pulley;Hellas;Orange Tricolor;This is not a synonym
Agnar;01/01/1928;Paphiopedilum;Alexander;Alexander;spicerianum;Mulatto;This is not a synonym
Agnes Darling;01/01/1970;Paphiopedilum;Craig's;Craig's;Grace Darling;Agnes de Burc;This is not a synonym
Agnes de Burc;01/01/1940;Paphiopedilum;Jensen;Jensen;Gwen Hannen;Dickler;This is not a synonym
Agnes M. Churchill;01/01/1958;Paphiopedilum;Scanes;Scanes;Graceful;Bahram;This is not a synonym
Agnes Moore;01/01/1960;Paphiopedilum;E.C.Wilcox;E.C.Wilcox;Agnes de Burc;Chardmoore;This is not a synonym
Agnes Rathbone;07/04/1992;Paphiopedilum;So.Cross[S.Africa];M.Rathbone;Vashon Sundance;Emerald Creek;This is not a synonym
Agnetha Ase Faltskog;19/02/1997;Paphiopedilum;F.Booth;F.Booth;Carat Gold;Golden Diana;This is not a synonym
Agni;01/01/1988;Paphiopedilum;Beall;C.R.Phillips;Winston Churchill;Ruth Wright;This is not a synonym
Ahoi;01/01/1982;Paphiopedilum;F.Hark;F.Hark;Winston Churchill;Tafel Rose;This is not a synonym
Ahuriri River;28/02/2008;Paphiopedilum;B.Fraser;Woodstream;Great Pacific;Rangitikei;This is not a synonym
Ahwahnee;01/01/1983;Paphiopedilum;Rod McLellan Co.;Rod McLellan Co.;Eridge;Pacific Ocean;This is not a synonym
Aiandkei;09/07/1992;Paphiopedilum;I.Kojima;I.Kojima;Goultenianum;liemianum;This is not a synonym
Aiché;01/01/1949;Paphiopedilum;V.;V.;San-Actaeus;Ionian;This is not a synonym
Aiea Heights;29/10/1996;Paphiopedilum;D.Eickhoff;D.Eickhoff;exul;Greyi;This is not a synonym
Aigrette;01/01/1933;Paphiopedilum;L.de Rothschild;L.de Rothschild;Phantasy;insigne;This is not a synonym
Aiko Fleece;13/10/2004;Paphiopedilum;O/U;Yamato-Noen;Aiko Yamamoto;Golden Fleece;This is not a synonym
Aiko Yamamoto;01/11/1957;Paphiopedilum;Hiroyuki Yamamoto;Hiroyuki Yamamoto;Yumedono;Finetta;This is not a synonym
Aileen;01/01/1934;Paphiopedilum;Alexander;Alexander;Mrs. Eley;Moonbeam;This is not a synonym
Aileen Fearneyhough;12/11/1999;Paphiopedilum;Orchid House;G.Lawless;Via Anacapa;Via Ojai;This is not a synonym
Aimé Bonpland;18/12/2001;Paphiopedilum;Jard.Luxembourg;Jard.Luxembourg;primulinum;supardii;This is not a synonym
Aimee's Dream;03/04/2007;Paphiopedilum;J.Burkey;B.Andrewjeski;Fall Magic;White Knight;This is not a synonym
Air de Ballet;01/01/1947;Paphiopedilum;Black ;Black ;Chatwode;Akeley;This is not a synonym
Air of December;01/08/2005;Paphiopedilum;Saeki Nurs.;Green Note;Hamana December;Singing Star;This is not a synonym
Airdean;01/01/1970;Paphiopedilum;Black ;Black ;Littledean;Air de Ballet;This is not a synonym
Aire;01/01/1938;Paphiopedilum;Horridge;Horridge;Volga;Nitens-Leeanum;This is not a synonym
Aireworth;01/01/1924;Paphiopedilum;Mansell ;Mansell ;Hera (1892);Alcineda;This is not a synonym
Airlee;01/01/1928;Paphiopedilum;Black ;Black ;Upton Gem;Albert Fisher;This is not a synonym
Airwave;09/02/1993;Paphiopedilum;Paphanatics;Paphanatics;charlesworthii;Via Air Mail;This is not a synonym
Aisne;01/01/1914;Paphiopedilum;Sanders[St Albans];Sanders[St Albans];Mrs. William Mostyn;Leeanum;This is not a synonym
Aitchisoniae;01/01/1907;Paphiopedilum;Rogerson;Rogerson;Smithii;charlesworthii;This is not a synonym
Ajax (1900);01/01/1900;Paphiopedilum;Charlesworth Ltd.;Charlesworth Ltd.;Pollettianum;lawrenceanum;This is  a synonym
Ajax (1901);01/01/1901;Paphiopedilum;Pitt;Pitt;Germinyanum;chamberlainianum;This is not a synonym
Akaeboshi;30/01/2004;Paphiopedilum;T.Tanaka;T.Tanaka;delenatii;Hamana Leader;This is not a synonym
Akaishi;15/04/1991;Paphiopedilum;S.Hirota;S.Hirota;Tree of Glory;Wakeswood;This is not a synonym
Akaka Falls;01/01/1979;Paphiopedilum;Dr T.Fujiwara;Dr T.Fujiwara;Winston Churchill;Blondel;This is not a synonym
Akala;01/01/1980;Paphiopedilum;Dr T.Fujiwara;Dr T.Fujiwara;delenatii;Almaud;This is not a synonym
Akatsuki;24/01/1994;Paphiopedilum;T.Takano;T.Takano;Makuli;Paeony;This is not a synonym
Akebono;01/01/1966;Paphiopedilum;K.Tokugawa;K.Tokugawa;Wendbourn;Memoria J. H. Walker;This is not a synonym
Akegoromo;28/10/2002;Paphiopedilum;T.Tanaka;T.Tanaka;micranthum;wenshanense;This is not a synonym
Akelene;01/01/1949;Paphiopedilum;S.A.;S.A.;Selene;Akeley;This is not a synonym
Akeley;01/01/1937;Paphiopedilum;Black ;Black ;Josette;Grace Darling;This is not a synonym
Aki;01/01/1979;Paphiopedilum;K.Karasawa;K.Karasawa;Revaneh;Robert Paterson;This is not a synonym
Akibare;04/04/2001;Paphiopedilum;T.Takano;T.Takano;White King;Marsha White;This is not a synonym
Akinotsuki;07/02/1995;Paphiopedilum;T.Takano;T.Takano;Chilton;Chardmoore;This is not a synonym
Akira;24/08/2007;Paphiopedilum;M.Nunoura;M.Nunoura;godefroyae;Sparsholt;This is not a synonym
Akishigure;20/09/2012;Paphiopedilum;N.Mochizuki;N.Mochizuki;areeanum;spicerianum;This is not a synonym
Akogare;07/05/2002;Paphiopedilum;T.Takano;T.Takano;Skip Bartlett;Hitachino;This is not a synonym
Aksana Gessner;07/11/2005;Paphiopedilum;Hans Koch;G.Dankmeyer;Van Ness;Miller's Daughter;This is not a synonym
Akstom;01/01/1973;Paphiopedilum;Kensington;Kensington;Akeley;Euryostom;This is not a synonym
Akwesasne;13/05/1991;Paphiopedilum;M.Bachner;W.W.Wilson;W. N. Evans;Cardinal Wing;This is not a synonym
Al Hill;10/06/1992;Paphiopedilum;H.Burkhardt;A.J.Hill;micranthum;Conco-bellatulum;This is not a synonym
